owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
Organization,https://api.github.com/users/DefinitelyTyped,https://github.com/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped,False,2012-10-05T16:39:45Z,2019-06-25T15:00:50Z,477731,22834,TypeScript,True,True,17923,17923,2976,22834,,,
Organization,https://api.github.com/users/react-boilerplate,https://github.com/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,https://api.github.com/repos/react-boilerplate/react-boilerplate,False,2015-02-18T14:36:32Z,2019-06-25T14:17:48Z,6797,22788,JavaScript,True,False,4554,4554,16,22788,,,
Organization,https://api.github.com/users/tldr-pages,https://github.com/tldr-pages,https://github.com/tldr-pages/tldr,https://api.github.com/repos/tldr-pages/tldr,False,2013-12-08T07:34:43Z,2019-06-25T14:15:41Z,5368,22762,Python,True,True,1684,1684,82,22762,,,
Organization,https://api.github.com/users/JuliaLang,https://github.com/JuliaLang,https://github.com/JuliaLang/julia,https://api.github.com/repos/JuliaLang/julia,False,2011-04-21T07:01:50Z,2019-06-25T14:52:13Z,171585,22556,Julia,True,False,3406,3406,3367,22556,,,
Organization,https://api.github.com/users/Tencent,https://github.com/Tencent,https://github.com/Tencent/weui,https://api.github.com/repos/Tencent/weui,False,2014-12-18T04:09:54Z,2019-06-25T13:40:49Z,7060,22504,CSS,True,True,5770,5770,121,22504,,,
User,https://api.github.com/users/nvie,https://github.com/nvie,https://github.com/nvie/gitflow,https://api.github.com/repos/nvie/gitflow,False,2010-01-20T23:14:12Z,2019-06-25T13:23:05Z,5251,22456,Shell,True,True,2358,2358,304,22456,,,
User,https://api.github.com/users/mholt,https://github.com/mholt,https://github.com/mholt/caddy,https://api.github.com/repos/mholt/caddy,False,2015-01-13T19:45:03Z,2019-06-25T14:12:11Z,10717,22379,Go,True,True,1775,1775,126,22379,,,
Organization,https://api.github.com/users/apache,https://github.com/apache,https://github.com/apache/spark,https://api.github.com/repos/apache/spark,False,2014-02-25T08:00:08Z,2019-06-25T14:40:17Z,299510,22378,Scala,False,False,19308,19308,503,22378,,,
Organization,https://api.github.com/users/rethinkdb,https://github.com/rethinkdb,https://github.com/rethinkdb/rethinkdb,https://api.github.com/repos/rethinkdb/rethinkdb,False,2012-10-30T05:37:47Z,2019-06-25T14:57:01Z,278338,22292,C++,True,False,1731,1731,1467,22292,,,
Organization,https://api.github.com/users/xitu,https://github.com/xitu,https://github.com/xitu/gold-miner,https://api.github.com/repos/xitu/gold-miner,False,2015-11-04T03:29:13Z,2019-06-25T13:40:52Z,46045,22266,,True,True,3671,3671,39,22266,,,
User,https://api.github.com/users/junegunn,https://github.com/junegunn,https://github.com/junegunn/fzf,https://api.github.com/repos/junegunn/fzf,False,2013-10-23T16:04:23Z,2019-06-25T14:55:49Z,2789,22255,Go,True,True,863,863,146,22255,,,
Organization,https://api.github.com/users/github,https://github.com/github,https://github.com/github/fetch,https://api.github.com/repos/github/fetch,False,2014-10-13T00:26:19Z,2019-06-25T13:36:17Z,440,22225,JavaScript,True,False,2093,2093,10,22225,,,
Organization,https://api.github.com/users/Kong,https://github.com/Kong,https://github.com/Kong/kong,https://api.github.com/repos/Kong/kong,False,2014-11-17T23:56:08Z,2019-06-25T12:27:20Z,12675,22225,Lua,True,False,2719,2719,342,22225,,,
User,https://api.github.com/users/tuvtran,https://github.com/tuvtran,https://github.com/tuvtran/project-based-learning,https://api.github.com/repos/tuvtran/project-based-learning,False,2017-04-12T05:07:46Z,2019-06-25T15:05:01Z,288,22103,,True,True,3729,3729,38,22103,,,
Organization,https://api.github.com/users/harvesthq,https://github.com/harvesthq,https://github.com/harvesthq/chosen,https://api.github.com/repos/harvesthq/chosen,False,2011-04-18T15:07:41Z,2019-06-25T12:39:27Z,3043,22086,HTML,True,False,4215,4215,260,22086,,,
User,https://api.github.com/users/iamkun,https://github.com/iamkun,https://github.com/iamkun/dayjs,https://api.github.com/repos/iamkun/dayjs,False,2018-04-10T09:26:44Z,2019-06-25T15:07:51Z,4335,22041,JavaScript,True,True,1004,1004,44,22041,,,
User,https://api.github.com/users/ZuzooVn,https://github.com/ZuzooVn,https://github.com/ZuzooVn/machine-learning-for-software-engineers,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers,False,2016-10-09T21:20:25Z,2019-06-25T12:12:46Z,396,22027,,True,True,4999,4999,9,22027,,,
User,https://api.github.com/users/aosabook,https://github.com/aosabook,https://github.com/aosabook/500lines,https://api.github.com/repos/aosabook/500lines,False,2013-11-04T02:02:53Z,2019-06-25T14:15:06Z,60078,21861,JavaScript,True,True,4984,4984,47,21861,,,
Organization,https://api.github.com/users/gitlabhq,https://github.com/gitlabhq,https://github.com/gitlabhq/gitlabhq,https://api.github.com/repos/gitlabhq/gitlabhq,False,2011-10-02T16:25:27Z,2019-06-25T14:46:38Z,602286,21857,Ruby,False,False,5567,5567,29,21857,,,
Organization,https://api.github.com/users/angular,https://github.com/angular,https://github.com/angular/angular-cli,https://api.github.com/repos/angular/angular-cli,False,2015-06-04T19:49:37Z,2019-06-25T14:29:31Z,22447,21824,TypeScript,True,True,6906,6906,748,21824,,,
Organization,https://api.github.com/users/grpc,https://github.com/grpc,https://github.com/grpc/grpc,https://api.github.com/repos/grpc/grpc,False,2014-12-08T18:58:53Z,2019-06-25T14:52:08Z,225212,21782,C++,True,True,5062,5062,1366,21782,,,
Organization,https://api.github.com/users/iview,https://github.com/iview,https://github.com/iview/iview,https://api.github.com/repos/iview/iview,False,2016-07-28T01:52:59Z,2019-06-25T14:45:34Z,29166,21728,Vue,True,True,3836,3836,874,21728,,,
User,https://api.github.com/users/mathiasbynens,https://github.com/mathiasbynens,https://github.com/mathiasbynens/dotfiles,https://api.github.com/repos/mathiasbynens/dotfiles,False,2011-09-05T18:07:54Z,2019-06-25T13:43:44Z,837,21683,Shell,True,False,7702,7702,174,21683,,,
User,https://api.github.com/users/ziadoz,https://github.com/ziadoz,https://github.com/ziadoz/awesome-php,https://api.github.com/repos/ziadoz/awesome-php,False,2013-11-26T03:14:19Z,2019-06-25T14:58:37Z,1074,21629,,True,False,4237,4237,148,21629,,,
