id,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
2888818,Organization,https://api.github.com/users/scala,https://github.com/scala,https://github.com/scala/scala,https://api.github.com/repos/scala/scala,False,2011-12-01T05:02:34Z,2019-07-02T11:58:11Z,119044,11821,Scala,False,False,2747,2747,75,11821,,,
5888353,Organization,https://api.github.com/users/spotify,https://github.com/spotify,https://github.com/spotify/luigi,https://api.github.com/repos/spotify/luigi,False,2012-09-20T15:06:38Z,2019-07-02T15:09:02Z,10052,11819,Python,True,False,1954,1954,42,11819,,,
2744972,Organization,https://api.github.com/users/websockets,https://github.com/websockets,https://github.com/websockets/ws,https://api.github.com/repos/websockets/ws,False,2011-11-09T22:32:45Z,2019-07-02T16:09:00Z,10810,11806,JavaScript,True,True,1534,1534,12,11806,,,
17804584,User,https://api.github.com/users/winterbe,https://github.com/winterbe,https://github.com/winterbe/java8-tutorial,https://api.github.com/repos/winterbe/java8-tutorial,False,2014-03-16T17:25:43Z,2019-07-02T15:24:10Z,157,11800,Java,False,False,2757,2757,15,11800,,,
10219106,Organization,https://api.github.com/users/linnovate,https://github.com/linnovate,https://github.com/linnovate/mean,https://api.github.com/repos/linnovate/mean,False,2013-05-22T12:15:47Z,2019-07-01T10:27:11Z,8234,11768,TypeScript,True,True,3565,3565,11,11768,,,
37931301,User,https://api.github.com/users/erikras,https://github.com/erikras,https://github.com/erikras/react-redux-universal-hot-example,https://api.github.com/repos/erikras/react-redux-universal-hot-example,False,2015-06-23T16:39:21Z,2019-07-02T11:40:46Z,7031,11758,JavaScript,True,True,2613,2613,444,11758,,,
12512833,User,https://api.github.com/users/philipwalton,https://github.com/philipwalton,https://github.com/philipwalton/solved-by-flexbox,https://api.github.com/repos/philipwalton/solved-by-flexbox,False,2013-08-31T23:04:51Z,2019-07-02T00:07:50Z,1638,11755,CSS,True,True,980,980,20,11755,,,
23062124,Organization,https://api.github.com/users/dcloudio,https://github.com/dcloudio,https://github.com/dcloudio/mui,https://api.github.com/repos/dcloudio/mui,False,2014-08-18T07:14:41Z,2019-07-02T09:44:00Z,8032,11754,JavaScript,True,True,6125,6125,318,11754,,,
2139017,Organization,https://api.github.com/users/rbenv,https://github.com/rbenv,https://github.com/rbenv/rbenv,https://api.github.com/repos/rbenv/rbenv,False,2011-08-01T20:51:48Z,2019-07-02T15:26:23Z,529,11741,Shell,True,True,1062,1062,48,11741,,,
2203645,Organization,https://api.github.com/users/CocoaPods,https://github.com/CocoaPods,https://github.com/CocoaPods/CocoaPods,https://api.github.com/repos/CocoaPods/CocoaPods,False,2011-08-14T00:10:53Z,2019-07-02T12:38:37Z,60538,11718,Ruby,True,True,2108,2108,203,11718,,,
1538210,Organization,https://api.github.com/users/SVProgressHUD,https://github.com/SVProgressHUD,https://github.com/SVProgressHUD/SVProgressHUD,https://api.github.com/repos/SVProgressHUD/SVProgressHUD,False,2011-03-28T19:23:04Z,2019-07-02T06:24:15Z,1113,11715,Objective-C,True,False,2317,2317,55,11715,,,
38342221,Organization,https://api.github.com/users/graphql,https://github.com/graphql,https://github.com/graphql/graphql-spec,https://api.github.com/repos/graphql/graphql-spec,False,2015-07-01T01:26:56Z,2019-07-02T14:58:54Z,2155,11712,Shell,True,False,752,752,85,11712,,,
19994257,Organization,https://api.github.com/users/go-delve,https://github.com/go-delve,https://github.com/go-delve/delve,https://api.github.com/repos/go-delve/delve,False,2014-05-20T19:24:43Z,2019-07-02T16:37:54Z,20227,11705,Go,True,True,1039,1039,105,11705,,,
30092893,Organization,https://api.github.com/users/dotnet,https://github.com/dotnet,https://github.com/dotnet/coreclr,https://api.github.com/repos/dotnet/coreclr,False,2015-01-30T22:10:02Z,2019-07-02T14:48:51Z,294779,11702,C#,True,True,2753,2753,2015,11702,,,
